# Product specifications by grade and form. One row per grade; the columns are
# the product forms. docs/build-specs.mjs writes these into the grade x spec
# table on every family hub (/inconel-wire-.../, /hollow-bars/..., etc.) and on
# every grade hub (/inconel/625/).
#
# Why a file rather than editing hubs by hand: the same standard appears on a
# product page, a form hub and a grade hub. Three copies with nothing keeping
# them in step is how /inconel/625/wire/ ended up citing B443, a plate spec.
# One row here is the single source of truth for one grade.
#
# THE RULE THIS TABLE ENFORCES: a specification is written for a product form.
# B443 covers plate, sheet and strip; B446 covers rod, bar and wire; B444 covers
# pipe and tube. They are not interchangeable, and a hub must never print a
# flat-product spec in the wire column.
#
# Sources are the mill technical bulletins - Special Metals for INCONEL,
# INCOLOY, MONEL and NIMONIC; Haynes International for HAYNES. Where a mill
# publishes no standard for a grade, the cell reads "mill" and the hub prints
# "mill specification". Where a grade is not made in that form, the cell is "-"
# and the hub prints an em dash. Do not fill a cell from a distributor listing:
# that is where AMS 5542 (an X-750 sheet spec) came to be cited for Haynes 214
# round bar.
#
# EN 10095 IS NOT IN THIS FILE, AND THAT IS DELIBERATE. On 2026-08-26 it was
# removed from 48 pages - 62 citations - where it had been typed into
# hand-written Standards cells as filler. It is "Heat resisting steels and
# nickel alloys", and it was being recited on Monel, Invar, Nimonic, duplex,
# cobalt alloys and the whole corrosion-resistant Hastelloy range, none of which
# it covers. Not one verified mill bulletin behind this file cites it; the
# closest case, VDM's 602 CA sheet, lists DIN EN 10302 instead.
#
# It was removed rather than corrected because no instance had a source. Some of
# them were probably right - the genuinely heat-resisting grades (600, 601,
# 602 CA, 800 / 800H / 800HT, Alloy 330, the nichromes, Hastelloy X) are the
# ones to re-check first. Re-add per grade only from the standard's own material
# list, never from the fact that it used to be on the page.
#
# 800 / 800H / 800HT are the strongest of those candidates, and there is already
# evidence in the tree: docs/chemistry.csv records that their Mn, Si, Cu, P and
# S residuals were read off ASTM B409 / B408 and EN 10095 because the Special
# Metals bulletin states no limit for any of them, and that 800HT's phosphorus
# limit has no ASTM counterpart at all. So the standard genuinely covers that
# grade. What was deleted from the pages was the unsourced citation, not the
# standard's applicability - the two are different claims.
#
# After editing: node docs/build-specs.mjs   then commit the changed hubs.
# node docs/build-specs.mjs --check reports drift and exits non-zero.

family,grade,uns,flat,bar,wire,pipe_tube,fitting
# Rolled Alloys' RA330 databook sheet. B536 flat, B511 bar, B535 pipe/tube and an
# empty wire cell were all confirmed by it. The four numbers added below are on
# that same line and each names UNS N08330 in its OWN ASTM title, which is the
# scope test - not merely the form test that let ASTM B649 sit on 904L:
#   B512 "Nickel-Chromium-Silicon Alloy (UNS N08330) Billets and Bars"     -> bar
#   B546 "Electric Fusion-Welded ... (UNS N08330 and N08332) ... Pipe"     -> pipe
#   B710 "Nickel-Iron-Chromium-Silicon Alloy Welded Pipe"                  -> pipe
#   B739 "Nickel-Iron-Chromium-Silicon Alloy Welded Tube"                  -> tube
# So pipe_tube now carries the seamless spec first and the three welded ones after.
#
# TWO THINGS ON THAT LINE ARE DELIBERATELY NOT HERE. AMS 5592 and 5716 are listed
# by the mill but their titles were not read, so which form each covers is unknown
# and guessing it is the wrong-form error this file exists to stop. EN 10095 is a
# heat-resisting materials standard covering the grade as a material rather than a
# product form, so it belongs in no form column - worth noting because EN 10095 was
# once stripped site-wide as filler, and here the mill publishes it for real.
#
# B366 in the fitting column is NOT on the mill's list. That is not evidence
# against it - Rolled Alloys sells plate, bar and pipe, not factory-made fittings,
# so a fittings spec would not appear in their catalogue either way. Left as it
# stands rather than removed on an absence, but it is unconfirmed: settle it by
# reading B366's own scope list for N08330.
incoloy,DS,N08330,ASTM B536,ASTM B511 / B512,-,ASTM B535 / B546 / B710 / B739,ASTM B366
incoloy,800,N08800,ASTM B409 / B906,ASTM B408,ISO 9724 / BS 3075NA15,ASTM B163 / B407 / B829,ASTM B366
incoloy,800H,N08810,ASTM B409 / B906,ASTM B408,ISO 9724 / BS 3075NA15,ASTM B163 / B407 / B829,ASTM B366
incoloy,800HT,N08811,ASTM B409 / B906,ASTM B408,ISO 9724 / BS 3075NA15,ASTM B163 / B407 / B829,ASTM B366
incoloy,825,N08825,ASTM B424 / B906,ASTM B425 / B564,ASTM B425,ASTM B163 / B423 / B829,ASTM B366
incoloy,890,N08890,ASTM B409 / B906,ASTM B408,-,ASTM B407,-
incoloy,903,N19903,mill,mill,-,-,-
incoloy,909,N19909,AMS 5893,AMS 5892 / 5884,-,-,-
incoloy,925,N09925,-,NACE MR-01-75 / ASME CC 2218 / HA46,-,-,-
incoloy,945,N09945,-,NACE MR0175 / ISO 15156-3 / HA 119,-,-,-
# A-286, from the SPECIFICATIONS - AMS list on the ATI A286 technical data
# sheet. Each entry there names its own product forms, which is what fills the
# columns: AMS 5525 and 5858 are "Sheet, Strip, and Plate", and AMS 5731 / 5732
# / 5734 / 5737 are "Bars, Rings, Forgings and Tubing" - the pairs differ by
# solution temperature (1800 F against 1650 F) and whether the spec includes
# the age.
#
# TUBING IS IN THOSE AMS TITLES, so the pipe_tube cell is filled rather than
# dashed. This is the same reading that B637 and B425 needed for wire - the
# form is in the standard's own scope line, and refusing to read it there is
# how a correct citation gets flagged as an error.
#
# Wire is dashed: no AMS or ASTM entry on the sheet names it. ASTM A453 is on
# the sheet too and is not recorded, because it is a bolting specification and
# there is no column for fasteners; noted here so nobody re-adds it to `bar`.
incoloy,660 (A286),S66286,AMS 5525 / 5858,ASTM A638 / ASME SA-638 / AMS 5731 / 5732 / 5734 / 5737,-,AMS 5731 / 5732 / 5734 / 5737,-
hastelloy,B-2,N10665,ASTM B333,ASTM B335,ASTM B335,ASTM B619 / B622,ASTM B366
hastelloy,C-4,N06455,ASTM B575,ASTM B574,ASTM B574,ASTM B619 / B622,ASTM B366
hastelloy,C-22,N06022,ASTM B575,ASTM B574,ASTM B574,ASTM B619 / B622,ASTM B366
hastelloy,C-276,N10276,ASTM B575,ASTM B574,ASTM B574,ASTM B619 / B622 / B626,ASTM B366
hastelloy,C-2000,N06200,ASTM B575,ASTM B574,ASTM B574,ASTM B619 / B622,ASTM B366
hastelloy,G-30,N06030,ASTM B582,ASTM B581,ASTM B581,ASTM B619 / B622,ASTM B366
# Checked 2026-08-25 against the Specifications table on the Haynes HASTELLOY N
# alloy page. Two cells were "-", which claims the grade is NOT MADE in that
# form - and flat was the damaging one, because /hastelloy/N/sheets/ and
# /hastelloy/N/plates/ both exist and were printing no specification at all
# while the CSV said the material did not come that way. Haynes lists
# Sheet Plate & Strip as AMS 5607 / SB 434 / B 434, and Fittings as B 366.
#
# pipe_tube stays "-" and that one is right: Haynes prints "-" against both
# Seamless Pipe & Tube and Welded Pipe & Tube. wire stays "-" too - the only
# wire entry is Bare Welding Rods & Wire (SFA 5.14 / ERNiMo-2), a welding
# consumable rather than a wire product, the same call made on the X row.
# Haynes also lists forgings as AMS 5771, which is the bar spec already here,
# and Mil-N-24390B under Others. Its DIN row is "-", which is the source for
# leaving this grade's Werkstoff number blank in docs/grades.csv.
hastelloy,N,N10003,ASTM B434 / AMS 5607,ASTM B573 / AMS 5771,-,-,ASTM B366
# Checked 2026-08-25 against the ATI HX technical data sheet's Specifications
# table (ATI makes N06002 as ATI HX) and cross-checked against the Specifications
# table on the Haynes HASTELLOY X page. They agree on every form.
#
# ASTM B626 WAS MISSING from pipe_tube. ATI lists seamless tube as B622 and
# WELDED tube as B626; only the seamless spec was here, so a welded X tube had no
# standard printed for it. The inconel/686 row already carries B619 / B622 / B626
# for the same three product forms.
#
# AMS 5536 (sheet strip plate) and AMS 5754 (bar forgings rings) are added the
# way the inconel rows carry theirs. Both were already cited by hand on the X
# pages - 5536 twenty times, 5754 twice - and ATI confirms both, so those hand
# written mentions were right and are now generated from here instead.
#
# wire stays "-". ATI and Haynes both list only weld wire (AMS 5798 / SFA-5.14)
# and covered electrodes (AMS 5799 / SFA-5.11) for X, which are welding
# consumables and not a wire product. AMS 5587 / 5588 cover seamless and welded
# tube and are left out of pipe_tube to keep that cell to the three ASTMs a
# stockist actually certifies to. ATI also lists A567 castings and B924 finned
# tubes - neither is a form this site sells.
hastelloy,X,N06002,ASTM B435 / AMS 5536,ASTM B572 / AMS 5754,-,ASTM B619 / B622 / B626,ASTM B366
monel,400,N04400,ASTM B127,ASTM B164,ASTM B164,ASTM B163 / B165,ASTM B366
monel,405,N04405,-,ASTM B164,ASTM B164,-,-
monel,K-500,N05500,QQ-N-286,ASTM B865,ASTM B865,-,-
nimonic,75,N06075,BS HR 203 / DIN 17750 / ISO 6208,BS HR 5 / HR 504 / DIN 17752,BS HR 5 / ISO 9723-25,BS HR 403 / DIN 17751,-
nimonic,80A,N07080,BS HR 201 / AECMA PrEn 2191,ASTM B637 / BS 3076 / HR 1,ASTM B637 / BS 3076,BS HR 401,-
nimonic,81,-,mill,mill,mill,mill,-
nimonic,86,-,mill,mill,mill,-,-
nimonic,90,N07090,BS HR 202 / AECMA PrEN 2298,AMS 5829 / BS HR 2 / HR 501-503,AMS 5829 / BS HR 2,BS HR 402,-
nimonic,105,-,BS HR 3,BS HR 3 / AECMA PrEn 2179-2181,-,-,-
nimonic,115,-,-,BS HR 4 / AECMA PrEn 2196 / 2197,-,-,-
nimonic,263,N07263,AMS 5872 / BS HR 206 / DIN 17750,BS HR 10 / DIN 17752,DIN 17753,BS HR 404 / DIN 17751,-
nimonic,901,N09901,-,AMS 5660 / 5661 / ISO 9723,AMS 5660 / 5661,-,-
# Haynes International alloy pages, Specifications table, re-read 2026-08-27.
# Each bulletin lists a standard per product form, which is what these columns
# are, so the form question is settled by the mill rather than by reading an
# ASTM title. 25 is new here and mirrors the cobalt-alloy/Haynes 25 (L-605) row.
haynes,25,R30605,AMS 5537,AMS 5759,-,-,-
haynes,188,R30188,AMS 5608,AMS 5772,-,-,-
# 214 keeps "mill" because its page carries no Specifications table at all -
# not a table of dashes, no table - so Haynes cites no ASTM or AMS for it.
haynes,214,N07214,mill,mill,-,-,-
haynes,230,N06230,ASTM B435,ASTM B572,-,ASTM B619 / B622,ASTM B366
# 242 read "mill" for flat and bar and that was wrong: its bulletin publishes
# SB 434/B 434 for sheet, plate and strip and SB 573/B 573 for billet, rod and
# bar, plus B 622 seamless, B 619/B 626 welded and B 366 fittings. The mill
# naming the standard against the form is the scope confirmation - B434's title
# alone would not have told us N10242 is inside it.
haynes,242,N10242,ASTM B434,ASTM B573,-,ASTM B619 / B622,ASTM B366
haynes,282,N07208,AMS 5951,ASTM B637 / AMS 5915,-,-,-
titanium,Grade 1,R50250,ASTM B265,ASTM B348,ASTM B863,ASTM B338 / B861,ASTM B363
titanium,Grade 2,R50400,ASTM B265,ASTM B348,ASTM B863,ASTM B338 / B861,ASTM B363
titanium,Grade 5,R56400,ASTM B265,ASTM B348,ASTM B863,ASTM B338 / B861,ASTM B363
titanium,Grade 7,R52400,ASTM B265,ASTM B348,ASTM B863,ASTM B338 / B861,ASTM B363
titanium,Grade 9,R56320,ASTM B265,ASTM B348,ASTM B863,ASTM B338 / B861,ASTM B363
titanium,Grade 11,R52250,ASTM B265,ASTM B348,ASTM B863,ASTM B338 / B861,ASTM B363
titanium,Grade 12,R53400,ASTM B265,ASTM B348,ASTM B863,ASTM B338 / B861,ASTM B363
titanium,Grade 23,R56407,ASTM B265,ASTM B348,ASTM B863,ASTM B338 / B861,ASTM B363
nickel-alloy,Nickel 200,N02200,ASTM B162,ASTM B160,ASTM B160,ASTM B161 / B163,ASTM B366
nickel-alloy,Nickel 201,N02201,ASTM B162,ASTM B160,ASTM B160,ASTM B161 / B163,ASTM B366
nickel-alloy,Monel 400,N04400,ASTM B127,ASTM B164,ASTM B164,ASTM B163 / B165,ASTM B366
nickel-alloy,Inconel 600,N06600,ASTM B168,ASTM B166,ASTM B166,ASTM B167,ASTM B366
nickel-alloy,Inconel 625,N06625,ASTM B443,ASTM B446,ASTM B446,ASTM B444,ASTM B366
nickel-alloy,Incoloy 825,N08825,ASTM B424,ASTM B425,ASTM B425,ASTM B423,ASTM B366
nickel-alloy,Hastelloy C-276,N10276,ASTM B575,ASTM B574,ASTM B574,ASTM B622,ASTM B366
# Alloy 602 CA, read off Table 1b of the VDM Alloy 602 CA data sheet (March
# 2022), which lists the standards form by form - rod and bar, sheet and plate,
# strip, wire. Two corrections to what this row used to say under the inconel
# key: the wire cell cited ISO 9724, which VDM does not list for this alloy at
# all (its only ISO entry is 286, against rod and bar), and the fitting cell
# cited ASTM B366, which VDM does not list either.
#
# The dashes mean VDM enumerates four product forms and neither tube nor
# fittings is one of them - a selective silence, not a gap in the reading.
#
# The /nickel-alloy/602-CA/pipe/, /tube/ and /fittings/ pages STAY published
# (decided 2026-08-26). A dash here is not a gap on those pages: the identity
# table simply omits the specification row rather than printing an empty one,
# and each of the three carries a note saying the form is fabricated from
# B168 / SB 168 sheet and plate of the same heat. That is the honest answer -
# the alternative was citing ASTM B167, a pipe standard that does not name this
# UNS, which is the wrong-form error this whole file exists to stop.
nickel-alloy,602 CA,N06025,ASTM B168,ASTM B166,ASTM B166,-,-
# Kovar, added 2026-08-27 and read off ASTM F15-04 (Reapproved 2022) itself plus
# the SAE titles of the AMS 772x series. Until now Kovar had no row in any of the
# three CSVs, so every figure on its five pages was hand-typed and unguarded -
# which is how /kovar/sheets/ came to publish UNS K94105, a transposition of
# K94610, while its own meta description said K94610.
#
# THE FLAT CELL IS AMS 7728 AND NOT ASTM F15, WHICH IS THE POINT OF THIS ROW.
# F15 scopes itself to K94610 "in the forms of wire, rod, bar, strip, sheet, and
# tubing" - plate appears nowhere in the document, and its tables are Sheet and
# Strip, Wire and Rod, Cold-Rolled Strip and Cold-Drawn Tubing. This column
# prints as "Plate, sheet and strip", and AMS 7728 is titled "Iron-Nickel-Cobalt
# Alloy, Sheet, Strip, and Plate", so it is the one that covers the whole column.
# The plates page had cited F15 in its title block, meta, og, twitter, JSON-LD
# and spec table.
#
# bar and wire carry F15 alongside the AMS number because F15's own scope names
# rod, bar and wire; AMS 7727 is "Bars and Forgings" and AMS 7726 is "Wire".
# pipe_tube is F15 alone - it covers tubing at 15.3 and no AMS number read so far
# does. fitting is "-": F15 does not reach fittings and no mill lists the grade
# in that form.
nickel-alloy,Kovar,K94610,AMS 7728,ASTM F15 / AMS 7727,ASTM F15 / AMS 7726,ASTM F15,-
duplex-steel,2205,S32205,ASTM A240,ASTM A276 / A479,ASTM A479,ASTM A790 / A789,ASTM A815
duplex-steel,32750,S32750,ASTM A240,ASTM A276 / A479,ASTM A479,ASTM A790 / A789,ASTM A815
duplex-steel,32760,S32760,ASTM A240,ASTM A276 / A479,ASTM A479,ASTM A790 / A789,ASTM A815
# 904L's B649 PROBLEM IS NOW FIXED - the bulletin the note below waited for
# arrived. voestalpine BOHLER A962RC (Alloy 904L, UNS N08904; A962RC EN_GB -
# 04.2026) is a long-products datasheet: rolled bar 12.5-130 mm, forged to
# 254 mm, wire rod 5.00-13.50 mm. Its Standards panel names ASTM A479/A479M
# and A182/A182M with EN ISO 10088-3, and its composition table is headed
# "Refers to ASTM A479 - 904L". So the mill states the bar standard outright.
#
# B649 was wrong on the scope test, not the form test: ASTM's abstract for
# B649-21 lists N08925, N08031, N08354, N08926, R20033 and N08936, and N08904
# is not one of them - the same error as Alloy 28 below. A479 is a stainless
# bar standard and 904L is a stainless; B649 is a nickel-alloy standard, which
# is how a grade sold as both came to be cited under the wrong series.
#
# Wire is EN 10088-3, NOT A479. A479 is titled "Bars and Shapes" and does not
# cover wire, so carrying it across would repeat in the wire cell exactly the
# scope error just removed from the bar cell. EN 10088-3 covers "bars, rods,
# wire, sections and bright products" and is on the same BOHLER panel - the
# same terms the EN numbers in the Alloy 28 row below are here on.
#
# fitting stays ASTM B366 rather than taking the panel's A182: B366 is the
# wrought-fittings spec and lists N08904, while A182 covers forged flanges and
# fittings. Both are real; changing a cell that is not wrong is not this pass.
special-stainless-steel,904L,N08904,ASTM B625,ASTM A479 / EN 10088-3,EN 10088-3,ASTM B673 / B677,ASTM B366
special-stainless-steel,254 SMO,S31254,ASTM A240,ASTM A479,ASTM A479,ASTM A312,ASTM A403
special-stainless-steel,AL-6XN,N08367,ASTM B688,ASTM B691,ASTM B691,ASTM B675 / B676,ASTM B366
special-stainless-steel,Alloy 20,N08020,ASTM B463,ASTM B473,ASTM B473,ASTM B464 / B468,ASTM B366
# ALLOY 28 WAS CITING A STANDARD THAT DOES NOT COVER IT. ASTM's own abstract for
# B649-21 scopes the standard to UNS N08925, N08031, N08354, N08926, R20033 and
# N08936. N08028 is not among them, so the bar and wire cells were telling a
# buyer this material is certified to a document it is not in - the wrong-scope
# error this file exists to stop, one column over from the wrong-form one.
#
# Replaced from the Alleima Sanicro 28 datasheet, which lists product standards
# by form: seamless tube and pipe ASTM B668; plate sheet and strip ASTM B709
# (confirming the flat cell); bar steel EN 10088-3 and EN 10272; fittings
# ASTM A403 with composition and mechanicals to B668. THE FIRST EN STANDARDS IN
# THIS FILE, and they are here because that is what the mill publishes for bar -
# it names no ASTM bar standard at all. An EN number read off a mill bulletin is
# a source; EN 10095 was removed from the pages for being neither.
#
# Wire reads "mill": Alleima sells the grade in wire and publishes no wire
# standard for it, which is what that cell means. It is not "-", which would
# claim the form is not made.
special-stainless-steel,Alloy 28,N08028,ASTM B709,EN 10088-3 / EN 10272,mill,ASTM B668,ASTM A403
# ALLOY 31 confirmed against VDM Alloy 31's Table 1, which lists standards per
# product form: sheet and plate ASTM B625, rod and bar ASTM B581 and B649, wire
# ASTM B649. Bar gains B581 - VDM prints both, and B649's scope does include
# N08031, so unlike Alloy 28 above this row was right as far as it went.
# VDM lists no tube, pipe or fitting standard, so those two cells stand.
special-stainless-steel,Alloy 31,N08031,ASTM B625,ASTM B581 / B649,ASTM B649,-,-
special-stainless-steel,Alloy 926,N08926,ASTM B625,ASTM B649,ASTM B649,-,-
# SANICRO 35 IS SOURCED FROM TWO MILLS, and the row splits along the same line
# the two of them do. Alleima owns the grade and makes the seamless tube and
# pipe: its datasheet's product standards read "Seamless tube and pipe: ASTM
# B163, ASTM B677". Outokumpu makes the plate and sheet under a licence
# agreement Alleima names, and its product page cites ASTM B625 against UNS
# N08935 - so the flat cell is Outokumpu's and the tube cell is Alleima's.
#
# Bar reads "mill": Alleima sells Sanicro 35 Bar as a product line and publishes
# no bar standard for it. Wire and fittings read "-" - neither mill lists the
# grade in those forms at all, which is a different claim from "no standard".
special-stainless-steel,Sanicro 35,N08935,ASTM B625,mill,-,ASTM B163 / B677,-
cobalt-alloy,Haynes 25 (L-605),R30605,AMS 5537,AMS 5759,-,-,-
cobalt-alloy,Haynes 188,R30188,AMS 5608,AMS 5772,-,-,-
# Elgiloy's flat cell read AMS 5833 until 2026-08-27. SAE titles that one "Cobalt
# Alloy Corrosion and Heat-Resistant ROUND WIRE 20Cr-15Ni-40Co-7.0Mo-16Fe", so it
# was the wire spec sitting in the flat column - the same wrong-form error this file
# exists to stop, and it had been printing on /coil/cobalt-alloy/. Elgiloy Specialty
# Metals' own Strip Products datasheet gives "Strip and Foil: AMS 5876, ASTM F1058,
# NACE MR 0175 & MR 0103, ISO 5832-7". AMS 5833 stays in wire, where it belongs.
cobalt-alloy,Elgiloy,R30003,ASTM F1058 / AMS 5876,-,ASTM F1058 / AMS 5833 / AMS 5834,-,-
# MP35N and CoCrMo added 2026-08-27. /cobalt-alloy-wire-supplier-exporter-mumbai-india/
# sells three cobalt alloys as wire and only Elgiloy had a row, so the generated
# table printed one grade for a page selling three - and the hand-written copy above
# it had merged all three identities into "UNS R30035, ASTM F1058, DIN 2.4979".
#
# MP35N, from Carpenter Technology's own datasheet (they hold the mark). Its
# "Forms manufactured" line reads Bar-Rounds, Billet, Strip, Wire, Wire-Rod, and its
# applicable specifications are three AMS numbers plus ANSI/ASTM F562. So strip IS
# made and no flat standard is published for it: that is what "mill" means here, not
# "-".
#
# pipe_tube reads "-" and was briefly "mill", which was wrong in a way worth
# recording. Third parties do draw MP35N tubing, so "no standard for a form that
# exists" looked right - but Carpenter's forms line does not include tube, and this
# file records what the sourced mill publishes. Worse, "mill" put a Pipe and tube
# table onto /pipes/cobalt-alloy/ and /tube/cobalt-alloy/ which had none before,
# whose single row would have advertised a form nobody has said we stock. That is
# the supply commitment nobody made, in the same shape as a copied size range.
# Fittings are listed by nobody and read "-" on the same terms.
#
# ASTM F562's own scope is "bar and wire"; the three AMS numbers are all bar and
# differ only by condition (5758 solution treated, 5844 work strengthened, 5845
# work strengthened and aged), so all three belong in the bar cell and none in wire.
cobalt-alloy,MP35N,R30035,mill,ASTM F562 / AMS 5758 / AMS 5844 / AMS 5845,ASTM F562,-,-
# CoCrMo, from Alleima's F1537 bar datasheet and CarTech BioDur CCM. Both mills list
# the same forms - billet, bar and wire - and neither publishes flat, tube or fitting
# products, so those three read "-". ASTM F1537's scope is "wrought bar, rod, and
# wire", which covers the bar and wire cells together. ASTM F799 is deliberately NOT
# in the bar cell: it covers forgings, and this file has no forging column, so
# putting it beside F1537 would cite a forging standard for bar.
cobalt-alloy,CoCrMo,R31537,-,ASTM F1537,ASTM F1537,-,-
# NICHROME - VDM Metals Basic Information sheets HT 80 / HT 70 / HT 60, 03/2020.
# Each sheet's "Designations and standards" block names ASTM B 344 and nothing
# else in ASTM, so B267 was dropped from 80/20 on 2026-08-26: no mill bulletin
# read for this family publishes it, and an unsourced standard on a product page
# tells a buyer the material is certified to something nobody has checked.
# The UNS column read "-" until the same pass, which claims no designation is
# published - see docs/grades.csv for why that is the one thing "-" must not mean.
nichrome,80/20,N06023,ASTM B344,ASTM B344,ASTM B344,-,-
nichrome,70/30,N06003,ASTM B344,ASTM B344,ASTM B344,-,-
nichrome,60/15,N06024,ASTM B344,ASTM B344,ASTM B344,-,-
